Le nom commercial ;Quantité en stock;Prix Public;Date derniére sortie;Listes;Classes;Formes
Vitiron suscaps B/10;0;0;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Actimag sp Fl/100 ml;5;4?016;11/09/2023;SANS TABLEAU;Supplement magnesique;Sirops
Biomag cp B/45;0;0;;SANS TABLEAU;Supplement magnesique;Comprimes Gelules
Mag 2 amp buv 10ml B/30 sans sucre;58;4?099;20/09/2023;SANS TABLEAU;Supplement magnesique;Ampoules buvables
Mag 2 cp B/60;8;3?834;22/08/2023;SANS TABLEAU;Supplement magnesique;Comprimes Gelules
Magnoral amp buv 10ml B/20;5;2?979;22/09/2023;SANS TABLEAU;Supplement magnesique;Ampoules buvables
Maximag amp buv B/30;37;4?461;22/09/2023;SANS TABLEAU;Supplement magnesique;Ampoules buvables
Megamag 45 mg gelu B/40;0;2?812;25/08/2019;SANS TABLEAU;Supplement magnesique;Comprimes Gelules
Megamylase 200 UI sp Fl/125ml;12;0;19/09/2023;SANS TABLEAU;Supplement magnesique;Sirops
MG 2 plus amp B/20;2;0;11/09/2023;SANS TABLEAU;Supplement magnesique;Ampoules buvables
Oromag cp B/30 sans sucre;0;0;;SANS TABLEAU;Supplement magnesique;Comprimes Gelules
Difrarel E cp B/24;0;1?975;22/09/2023;SANS TABLEAU;Supplement en Vit E vision nocturne et crepusculai;Comprimes Gelules
Ephynal cp B/100;0;0;;SANS TABLEAU;Supplement en vit E;Comprimes Gelules
Frubiose VitD1000UIamp B/20;0;0;;SANS TABLEAU;Supplement en Vit D;Ampoules buvables
Frubiose VitD5000UI amp B/20;0;0;;SANS TABLEAU;Supplement en Vit D;Ampoules buvables
Biofar calcium magnesium cp B/20;5;2?169;20/09/2023;SANS TABLEAU;Supplement calcique et magnesique;Comprimes Gelules
Apcal sp Fl/100ml;0;0;;SANS TABLEAU;Supplement calcique;Sirops
Calcidia scht B/20;1;4?784;17/08/2022;SANS TABLEAU;Supplement calcique;Sachets Granules poudres orales
Calciforte VitD3 CP b/60;0;0;;SANS TABLEAU;Supplement calcique;Comprimes Gelules
Calcium alko 0,87% inj B/5 amp;0;0;;SANS TABLEAU;Supplement calcique;Injectables
Calcium Sandoz 500mg sachet B/30 sans sucre;0;5?736;13/01/2021;SANS TABLEAU;Supplement calcique;Sachets Granules poudres orales
Calcium Sandoz forte cp eff B/20;0;2?109;25/10/2020;SANS TABLEAU;Supplement calcique;Comprimes Gelules
Effadol sp F:/100ml;0;0;;SANS TABLEAU;Supplement calcique;Sirops
Fixical 500 mg cp B/60;0;5?624;01/04/2017;SANS TABLEAU;Supplement calcique;Comprimes Gelules
Ideos B/30 cp e croquer;44;4?267;18/07/2023;SANS TABLEAU;Supplement calcique;Comprimes Gelules
Ossopan cp B/30;0;0;;SANS TABLEAU;Supplement calcique;Comprimes Gelules
Tonicalcium Ad amp B/20;0;0;;SANS TABLEAU;Supplement calcique;Ampoules buvables
Canderel B/100 cp;4;1?740;22/09/2023;SANS TABLEAU;Sucre de regime;Comprimes Gelules
Sulfarlem S 25mg cp B/60;0;0;;SANS TABLEAU;Substitut salivaire et lacrymal;Comprimes Gelules
Gel-Larmes gel opht T/10g;0;2?397;25/05/2019;SANS TABLEAU;Substitut lacrimal;Pommades ophtalmiques
Galactogil granules B/210g;0;2?812;24/01/2023;SANS TABLEAU;Stimulant lacte supplement mineraux;Sachets Granules poudres orales
Cystine B6 bailleul cp B/20;2;2?110;24/04/2023;SANS TABLEAU;Stimulant des phaneres;Comprimes Gelules
Levure de biere cp B/180;0;10?620;03/06/2020;SANS TABLEAU;Stimulant des phaneres;Comprimes Gelules
Dynamogen amp B/20;88;3?766;22/09/2023;SANS TABLEAU;Stimulant de leappetit;Ampoules buvables
Nuravit sp Fl/125ml;135;2?359;22/09/2023;SANS TABLEAU;Stimulant de leappetit;Sirops
Pervital cp B/20;11;3?101;05/09/2023;SANS TABLEAU;Stimulant de leappetit;Comprimes Gelules
Pervital sp Fl/125ml;-11;2?200;14/09/2023;SANS TABLEAU;Stimulant de leappetit;Sirops
Sthenorex gelu B/30;0;0;;SANS TABLEAU;Stimulant de leappetit;Comprimes Gelules
Stimogene sp Fl/200ml;7;2?357;07/08/2023;SANS TABLEAU;Stimulant de leappetit;Sirops
Tres orix forte cp B/20;5;3?141;11/09/2023;SANS TABLEAU;Stimulant de leappetit;Comprimes Gelules
Tres orix sp Fl/100ml;8;2?141;20/09/2023;SANS TABLEAU;Stimulant de leappetit;Sirops
Tres orix sp Fl/250ml;7;4?046;17/09/2023;SANS TABLEAU;Stimulant de leappetit;Sirops
Trimetabol sp FL/150ml;19;3?063;19/09/2023;SANS TABLEAU;Stimulant de leappetit;Sirops
Lacrifluide 0,13% cy 10g;0;0;;SANS TABLEAU;Sibstitut lacrimal;Collyres
Lacrinorm 0,2%  gel opht T/10g;0;0;;SANS TABLEAU;Sibstitut lacrimal;Pommades ophtalmiques
Larmabak cy 5ml;9;3?578;18/09/2023;SANS TABLEAU;Sibstitut lacrimal;Collyres
Larmes artificielles cy;0;0;;SANS TABLEAU;Sibstitut lacrimal;Collyres
Calcibronat 2g cp B/20;2;2?408;14/04/2023;SANS TABLEAU;Sedatif Hypnotique;Comprimes Gelules
Calma bebe gtte buv Fl/30ml;0;0;;SANS TABLEAU;Sedatif;Gouttes buvables
Passiflorine sp Fl/125ml ;0;822;10/01/2019;SANS TABLEAU;Sedatif;Sirops
Sympathyl cp pellic B/40;0;2?423;12/07/2022;SANS TABLEAU;Sedatif;Comprimes Gelules
Euvanol spr nasal Fl/15ml;0;4?676;13/04/2020;SANS TABLEAU;Rhume rhinopharyngite;Gouttes/Spray nasal
Actifed cp B/18;0;1?008;16/01/2022;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Actifed sp Fl/100 ml;0;0;06/02/2017;SANS TABLEAU;Rhume et etat grippal;Sirops
Antigrippine cp B/12 sans  sucre;1;1?406;12/07/2023;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Dolirhume cp B/16;-1;2?125;02/09/2023;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Dolitabs 500mg cp dispersible B/12 sans sucre;0;0;;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Dolko 1g cp B/8 sans sucre;0;926;29/01/2022;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Ephedryl cp B/20 sans sucre;3;0;26/06/2023;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Febrilex plus cp plaq/4;203;350;22/09/2023;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Fervex AD sach B/8;15;2?332;19/09/2023;SANS TABLEAU;Rhume et etat grippal;Sachets Granules poudres orales
Fervex AD sachet B/8 sans sucre;0;2?629;12/08/2022;SANS TABLEAU;Rhume et etat grippal;Sachets Granules poudres orales
Fervex Enf sachet B/8 sans sucre;13;2?304;14/09/2023;SANS TABLEAU;Rhume et etat grippal;Sachets Granules poudres orales
Humex rhume cp B/24;0;0;09/08/2023;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Litacold cp bte/20x4;1?928;250;22/09/2023;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Nurofen rhume cp B/20;0;0;;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Pharmagrip cp B/14;0;1?796;02/07/2022;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Rhinex jour cp plaq/10;0;0;;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Rhinex nuit cp plaq/10;0;0;03/09/2019;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Rhinocaps cp B/10;0;0;;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Rhinofebral gelu B/20 sans sucre;0;0;;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Rhinofebral verveine miel citron sachet B/20;0;0;;SANS TABLEAU;Rhume et etat grippal;Sachets Granules poudres orales
Rhinostop cp B/20;0;0;;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Rhinostop sp FL/100ml;0;0;;SANS TABLEAU;Rhume et etat grippal;Sirops
Rhumagripe cp B/16;2;1?413;05/09/2023;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules
Dislep cp B/20;31;5?873;20/09/2023;LISTE II;Regulateur du transit intestinal;Comprimes Gelules
Pediakid sommeil sp Fl/125ml;2;8?538;06/09/2023;SANS TABLEAU;Reduction de leagitation;Sirops
Plasmion poche 500ml;0;0;;SANS TABLEAU;Reconstituant;Injectables
Arcalion cp B/20;0;3?617;01/04/2017;SANS TABLEAU;Psychostimulant;Comprimes Gelules
Cebrotonin 800mg cp B/30;0;4?034;22/09/2023;LISTE II;Psychostimulant;Comprimes Gelules
Lioresal 10mg cp B/50;2;5?977;29/05/2023;LISTE I;Psychostimulant;Comprimes Gelules
Nootropyl 800mg cp B/45;0;8?010;03/03/2023;LISTE II;Psychostimulant;Comprimes Gelules
Nootropyl amp buv B/30;0;30;;Liste II;Psychostimulant;Ampoules buvables
Nootropyl amp inj 3g/15ml B/12;0;30;19/05/2020;Liste II;Psychostimulant;Injectables
Nootropyl sp Fl/125ml;0;5?223;30/03/2019;Liste I;Psychostimulant;Sirops
Piracetam arrow cp B/45;0;40;;Liste I;Psychostimulant;Comprimes Gelules
Somazina gtte buv FL/30ml;5;19?057;18/07/2023;Liste I;Psychostimulant;Gouttes buvables
Vita- dermacide creme T/40g ;0;0;;SANS TABLEAU;Proteteur cutane ;Pommades cremes
Bepanthene pde T/30g;4;2?868;22/09/2023;SANS TABLEAU;Protecteur cutane;Pommades cremes
Biafine emulsion derm Fl/186g;0;2?139;01/02/2023;SANS TABLEAU;Protecteur cutane;Solutions externes lotions
Biafine emulsion derm Fl/93g;0;2?113;07/11/2022;SANS TABLEAU;Protecteur cutane;Solutions externes lotions
Cold cream T/45g;0;6?327;04/03/2021;SANS TABLEAU;Protecteur cutane;Pommades cremes
Cold cream T/90g;0;0;;SANS TABLEAU;Protecteur cutane;Pommades cremes
Dexeryl creme T/200G;36;3?410;22/09/2023;SANS TABLEAU;Protecteur cutane;Pommades cremes
Madecassol 1% creme T/10g;12;1?528;19/09/2023;SANS TABLEAU;Protecteur cutane;Pommades cremes
Senophile pde T/50g;0;0;;SANS TABLEAU;Protecteur cutane;Pommades cremes
Vegebom creme adoucissant karite T/40g;0;0;;SANS TABLEAU;Protecteur cutane;Pommades cremes
Vegebom creme adoucissant karite T/40g;0;0;;SANS TABLEAU;Protecteur cutane;Pommades cremes
Synergon inj 1ml B/3;2;1?446;21/09/2023;Liste I;Progestatif et oestrogene;Injectables
Duphaston cp B/10;24;2?358;20/09/2023;LISTE I;Progestatif ;Comprimes Gelules
Lutenyl cp B/10;0;4?366;07/07/2023;LISTE I;Progestatif ;Comprimes Gelules
Luteran 2 cp B/10;0;40;;LISTE I;Progestatif ;Comprimes Gelules
Primolut Nor 10mg cp B/30;9;3?088;21/09/2023;LISTE I;Progestatif ;Comprimes Gelules
Progesterone retard pharlon inj B/3 amp;3;6?836;06/09/2023;LISTE I;Progestatif ;Injectables
Progestogel gel T/80g;0;1?775;17/05/2023;SANS TABLEAU;Progestatif ;Gel cutane
Surgestone 500mg cp B/10;0;40;;Liste I;Progestatif ;Comprimes Gelules
Luteran 10 cp B/10;0;40;;Liste I;Progestatif;Comprimes Gelules
Luteran 5 cp B/10;0;40;;Liste I;Progestatif;Comprimes Gelules
Micropaque sol 150ml;0;0;;SANS TABLEAU;Produits de Contraste;Solutions buvables ou rectales
Radioselectan urinaire et veineuse 76% FL/20ml;0;0;28/06/2022;SANS TABLEAU;Produits de Contraste;Injectables
Radioselectan urinaire et veineuse 76% FL/50ml;0;0;;SANS TABLEAU;Produits de Contraste;Injectables
Telebrix 35IV inj Fl/50ml;0;9?354;19/04/2021;SANS TABLEAU;Produits de Contraste;Injectables
Telebrix hystero Fl/20ml;0;30;;Liste II;Produits de Contraste;Injectables
Talc de Venise 100g;1;2?657;20/09/2023;SANS TABLEAU;Poudre de massage;Poudres externes
Talc officinal Fl/120g;0;3?515;15/03/2023;SANS TABLEAU;Poudre de massage;Poudres externes
Talc officinal Fl/250g;0;0;26/05/2022;SANS TABLEAU;Poudre de massage;Poudres externes
Exofene pdre Fl/160g;11;2?224;07/09/2023;SANS TABLEAU;Poudre antiseptique;Poudres externes
Gastropulgite sachet B/30g;0;0;;SANS TABLEAU;Pensements gastro intestinaux;Sachets Granules poudres orales
Aftagel gel buccal T/15ml;6;2?629;21/09/2023;SANS TABLEAU;Parodontopathie;Gel buccal 
Lyso 6 cp B/30;0;2?370;13/02/2019;SANS TABLEAU;Parodontopathie;Comprimes Gelules
Lysopaine cp B/40;0;0;;SANS TABLEAU;Parodontopathie;Comprimes Gelules
Insadol cp B/40;0;0;;SANS TABLEAU;Paradontopathie;Comprimes Gelules
Bedelix sachet B/30;0;3?904;22/12/2019;SANS TABLEAU;Pansements gastro intestineux;Sachets Granules poudres orales
Actapulgite 1g sachet B/20;0;3?654;03/11/2021;SANS TABLEAU;Pansements gastro intestinaux;Sachets Granules poudres orales
Actapulgite 3g sachet B/30;0;3?637;08/09/2021;SANS TABLEAU;Pansements gastro intestinaux;Sachets Granules poudres orales
Bolinan cp B/40;0;0;;SANS TABLEAU;Pansements gastro intestinaux;Comprimes Gelules
Moxydar B/30 cp;0;0;;SANS TABLEAU;Pansements gastro intestinaux;Comprimes Gelules
Smecta sachet B/10;2;3?822;20/09/2023;SANS TABLEAU;Pansements gastro intestinaux;Sachets Granules poudres orales
Smecta sachet B/30;6;3?814;22/09/2023;SANS TABLEAU;Pansements gastro intestinaux;Sachets Granules poudres orales
Methergin 0,20mg /1ml inj B/3;0;40;;LISTE I;Ocytocique;Injectables
Methergin cp B/20;0;3?235;18/05/2017;Liste I;Ocytocique;Comprimes Gelules
Methergin gtte buv Fl/10ml;0;40;;Liste I;Ocytocique;Gouttes buvables
Syntocinon  5UI amp inj 1ml B/3;0;1?146;30/07/2021;LISTE II;Ocytocique;Injectables
Gamalate B6 cp B/20;0;3?820;22/09/2023;SANS TABLEAU;Neuroregulateur;Comprimes Gelules
Gamalate B6 sp FL/80ml;4;3?515;13/06/2023;SANS TABLEAU;Neuroregulateur;Sirops
Ancopir amp Inj B/5;0;0;03/04/2019;SANS TABLEAU;Neuropathique;Injectables
Ancopir cp B/20;0;2?812;27/05/2019;SANS TABLEAU;Neuropathique;Comprimes Gelules
Becidouze cp B/20 sans sucre;2;2?461;19/08/2023;SANS TABLEAU;Neuropathique;Comprimes Gelules
Neurovitan cp B/30 sans sucre;0;4?696;16/11/2019;LISTE I;Neuropathique;Comprimes Gelules
Princi B fort cp B/30 ;1;3?519;02/09/2023;SANS TABLEAU;Neuropathique;Comprimes Gelules
Vitamen B complex inj B/10 amp de 2ml;0;0;;SANS TABLEAU;Neuropathique;Injectables
Dipiperon cp B/20;0;40;;Liste I;Neuroleptique;Comprimes Gelules
Dogmatil fort 200mg cp B/12;0;40;;Liste I;Neuroleptique;Comprimes Gelules
Dogmatil sp Fl/125ml;0;40;;LISTE I;Neuroleptique;Sirops
Sulrid 50mg cp B/20;1;40;22/07/2023;LISTE I;Neuroleptique;Comprimes Gelules
Myolastan 50mg cp B/20;0;40;;LISTE I;Myorelaxant Anxiolytique;Comprimes Gelules
Coltramyl 4mg cp B/12;0;2?873;30/08/2018;Liste I;Myorelaxant;Comprimes Gelules
Combantrin 125 mg cp B/6;0;0;;SANS TABLEAU;Myorelaxant;Comprimes Gelules
Decontractyl baume;0;1?434;01/09/2018;SANS TABLEAU;Myorelaxant;Comprimes Gelules
Decontractyl baume T/80mg;0;2?471;30/05/2019;SANS TABLEAU;Myorelaxant;Pommades cremes
Miorel 4mg gelule B/12;6;3?591;19/09/2023;LISTE I;Myorelaxant;Comprimes Gelules
Miorel Ge inj amp B/2ml B/5;10;3?767;09/09/2023;LISTE I;Myorelaxant;Injectables
Thocolcicocide  arrow  4mg B/12;0;40;;Liste I;Myorelaxant;Comprimes Gelules
